,tyndp_status,length,commissioning_year,underground,v_nom,tags,bus0,bus1,geometry
163,in_permitting,87.1,2035,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/264"", ""tyndp2020_proj_id""=>""264""",3626,7291,"LINESTRING (8.298798 47.148634, 8.32488999999999 46.532414)"
164,planned_not_yet_permitting,,2035,False,220.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/265"", ""tyndp2020_proj_id""=>""265""",3837,7291,"LINESTRING (8.85498 46.16081, 8.32488999999999 46.532414)"
166,in_permitting,124.0,2029,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/266"", ""tyndp2020_proj_id""=>""266""",3706,3834,"LINESTRING (7.555847 46.336499, 8.795929 46.401882)"
167,in_permitting,106.6,2027,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/266"", ""tyndp2020_proj_id""=>""266""",3593,3706,"LINESTRING (7.64236499999999 47.079475, 7.555847 46.336499)"
168,under_construction,30.0,2022,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/266"", ""tyndp2020_proj_id""=>""266""",3703,3706,"LINESTRING (7.165833 46.200745, 7.555847 46.336499)"
171,planned_not_yet_permitting,110.0,2030,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/270"", ""tyndp2020_proj_id""=>""270""",8867,2749,"LINESTRING (-1.14818 42.10892, -1.671123 41.952398)"
176,planned_not_yet_permitting,80.0,2029,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/276"", ""tyndp2020_proj_id""=>""276""",2706,2711,"LINESTRING (-0.812988000000009 43.979969, -0.575409000000004 43.345155)"
193,under_construction,1.0,2020,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/297"", ""tyndp2020_proj_id""=>""297""",5098,5098,"LINESTRING (4.307132 51.301299, 4.307132 51.301299)"
200,under_construction,128.0,2025,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/312"", ""tyndp2020_proj_id""=>""312""",3399,3409,"LINESTRING (13.080597 48.256684, 12.803192 47.244746)"
201,in_permitting,90.0,2024,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/313"", ""tyndp2020_proj_id""=>""313""",3380,3399,"LINESTRING (12.172852 48.638354, 13.080597 48.256684)"
202,under_construction,80.0,2021,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/320"", ""tyndp2020_proj_id""=>""320""",3506,3509,"LINESTRING (15.724182 46.386728, 16.689606 46.633408)"
203,in_permitting,85.0,2025,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/322"", ""tyndp2020_proj_id""=>""322""",8490,3779,"LINESTRING (10.06485 48.282279, 9.73251299999999 47.623752)"
205,in_permitting,11.0,2025,True,110.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/323"", ""tyndp2020_proj_id""=>""323""",3455,3451,"LINESTRING (13.717804 45.526555, 13.791962 45.691792)"
206,in_permitting,22.5,2023,True,110.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/324"", ""tyndp2020_proj_id""=>""324""",3450,3448,"LINESTRING (13.471985 45.801042, 13.654633 45.967379)"
210,planned_not_yet_permitting,40.0,2026,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/328"", ""tyndp2020_proj_id""=>""328""",7100,4808,"LINESTRING (6.590884 49.789617, 6.140853 49.688695)"
212,under_consideration,78.0,2035,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/330"", ""tyndp2020_proj_id""=>""330""",4471,4500,"LINESTRING (17.440796 49.236431, 18.287416 49.038186)"
221,under_construction,139.0,2023,False,132.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/336"", ""tyndp2020_proj_id""=>""336""",3389,3389,"LINESTRING (11.604309 47.081345, 11.604309 47.081345)"
225,planned_not_yet_permitting,100.0,2028,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/340"", ""tyndp2020_proj_id""=>""340""",5075,5153,"LINESTRING (3.429108 50.773813, 4.35470599999999 50.529143)"
227,under_consideration,60.0,2030,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/341"", ""tyndp2020_proj_id""=>""341""",2170,2160,"LINESTRING (20.9729 44.874362, 20.378265 44.819838)"
237,planned_not_yet_permitting,180.0,2030,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/343"", ""tyndp2020_proj_id""=>""343""",2086,2267,"LINESTRING (17.201843 44.772087, 15.26017 44.886816)"
238,planned_not_yet_permitting,68.0,2030,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/343"", ""tyndp2020_proj_id""=>""343""",2267,3501,"LINESTRING (15.26017 44.886816, 14.558258 45.323186)"
241,under_consideration,165.0,2040,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/344"", ""tyndp2020_proj_id""=>""344""",5759,4679,"LINESTRING (6.14410399999999 52.52207, 5.671692 51.908696)"
247,planned_not_yet_permitting,160.0,2025,False,275.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/349"", ""tyndp2020_proj_id""=>""349""",8868,6079,"LINESTRING (-9.578832 54.120411, -8.268819 53.134319)"
257,under_construction,161.0,2020,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/350"", ""tyndp2020_proj_id""=>""350""",2201,2198,"LINESTRING (20.725963 41.239159, 19.966278 41.16108)"
